id,rank,year,player,batted_ball_events,launch_angle,sweet_spot_percentage,max_ev,average_ev,fly_ball_line_drive_ev,ground_ball_ev,max_distance,average_distance,average_homerun,hard_hit_95mph+,hard_hit_percentage,hard_hit_swing_percentage,total_barrels,barrels_batted_balls_percentage,barrels_plate_appearance_percentage
206,206,2022,Yasmani Grandal,206,11.6,29.6,110.2,89.6,91,90.3,408,153,382,79,38.3,15.3,10,4.9,3.2
207,207,2022,Luis Arraez,422,12.3,36.7,107.3,88.5,90.5,87,403,165,381,125,29.6,14.4,16,3.8,3.1
208,208,2022,Ha-Seong Kim,347,16.1,34,109.4,86.3,90.6,83.8,426,160,401,110,31.8,12.7,15,4.3,3.1
209,209,2022,Kolten Wong,297,13,34.3,108.6,87.6,89.8,86.6,415,159,384,107,36,14.4,13,4.4,3.1
210,210,2022,Rafael Ortega,240,17.6,36.7,108.4,87.2,90,85.4,428,179,383,80,33.5,12.2,11,4.6,3.1
211,211,2022,Jurickson Profar,402,13.6,34.1,109.4,87.7,90.4,86.1,418,157,384,140,34.8,13.6,17,4.2,3
212,212,2022,Keibert Ruiz,344,14.9,36,109.4,87.9,90.7,86.1,424,171,394,111,32.3,14.3,13,3.8,3
213,213,2022,Josh Rojas,303,12.6,34.7,109.1,89.1,92.2,85,430,167,397,112,37,16,13,4.3,3
214,214,2022,Whit Merrifield,376,15.5,38.6,107.6,87,90.4,83.9,413,169,384,112,29.8,12.3,14,3.7,2.9
215,215,2022,Santiago Espinal,354,13.9,35,107.5,86.2,88.6,86.7,407,152,383,112,31.6,13.7,13,3.7,2.9
216,216,2022,Connor Joe,298,11,35.6,110.1,85.2,89.1,83.4,444,157,400,100,33.6,13.5,13,4.4,2.9
217,217,2022,Lourdes Gurriel Jr.,371,10.9,34.8,109.5,90.7,93.3,89.7,431,159,397,170,45.8,18.9,14,3.8,2.8
218,218,2022,Elvis Andrus,351,12.7,28.8,109.9,87.9,90.7,88,430,153,383,117,33.3,14.4,13,3.7,2.8
219,219,2022,Aaron Hicks,244,15.1,23.8,109.6,87.7,91.6,85.8,412,149,393,81,33.2,11.7,11,4.5,2.8
220,220,2022,Jonathan India,221,15.4,35.3,111.3,85.6,88.7,83.8,447,160,395,65,29.4,11.7,9,4.1,2.8
221,221,2022,Josh Harrison,276,14.8,31.5,105.6,87,89.8,85.8,414,159,383,84,30.4,11.6,10,3.6,2.7
222,222,2022,Ke'Bryan Hayes,322,6.1,30.1,113,91.1,93.3,91.7,416,144,390,152,47.2,19,12,3.7,2.6
223,223,2022,Owen Miller,298,9.6,35.6,108.7,86.2,90.7,82.4,423,156,392,96,32.2,12.4,10,3.4,2.4
224,224,2022,Nick Senzel,265,11.7,35.8,109.5,87,90.7,85.2,410,155,378,84,31.9,13.6,9,3.4,2.4
225,225,2022,Willi Castro,259,14.2,35.9,111.7,84.4,87.8,84.6,408,157,379,80,30.9,10.5,8,3.1,2.3
226,226,2022,Robbie Grossman,240,20,39.2,105.8,86.6,91,80.6,418,186,390,73,30.4,10.7,9,3.8,2.2
227,227,2022,Jacob Stallings,226,12.2,31.9,109.5,86.5,89.7,85.2,398,156,380,74,32.7,13.2,7,3.1,2.1
228,228,2022,Luis Guillorme,221,4.1,35.7,110.2,86.6,90,84,401,128,370,54,24.4,11.1,6,2.7,2.1
229,229,2022,Victor Robles,233,15.4,28.3,109.7,83.8,87.7,81.4,413,142,391,51,21.9,8,7,3,2
230,230,2022,Jeff McNeil,383,12.7,38.4,110,87,89.9,85.8,410,165,395,118,30.8,12.9,9,2.3,1.9
231,231,2022,Yonathan Daza,250,5.3,33.6,106,85.9,87.6,85.2,422,135,408,71,28.4,12.2,6,2.4,1.9
232,232,2022,Luis González,217,11.9,26.7,109.7,87.2,91.6,83.6,415,155,397,73,33.6,11.9,6,2.8,1.9
233,233,2022,César Hernández,404,9.2,34.2,110.8,84.3,88,82.5,398,143,398,118,29.2,11.8,10,2.5,1.8
234,234,2022,Miguel Rojas,352,10.8,33,106.4,85.8,89.1,84.4,400,151,381,92,26.1,12.3,8,2.3,1.8
235,235,2022,Austin Nola,248,11,35.5,109.1,89.4,91.3,89.1,395,166,393,98,39.5,18.1,6,2.4,1.8
236,236,2022,Nico Hoerner,377,10.6,33.2,108,87.1,90.2,86.5,407,152,379,125,33.6,15.6,8,2.1,1.7
237,237,2022,Yuli Gurriel,400,14.6,30.8,107.1,88.2,90.6,89.1,401,161,377,141,35.3,16.2,8,2,1.6
238,238,2022,J.P. Crawford,389,9.8,33.2,109.3,84.6,88.8,82.4,417,141,397,110,28.4,12.7,8,2.1,1.6
239,239,2022,Brendan Donovan,254,6.8,34.3,104.5,86.8,91.1,83.5,403,146,383,88,34.6,14.5,6,2.4,1.6
240,240,2022,Geraldo Perdomo,289,11.3,27.3,104.7,85.1,89.4,83.1,417,132,391,78,27,10.6,6,2.1,1.4
241,241,2022,Tony Kemp,366,15.4,32.5,103.2,84.3,88.9,80.9,382,152,365,50,13.7,5.9,5,1.4,1.1
242,242,2022,Joey Wendle,254,2.8,28.7,107.6,87,89.7,85.5,410,135,392,88,34.6,15.2,3,1.2,1
243,243,2022,Adam Frazier,419,13.3,37.9,105.1,85.3,89.2,82.4,391,159,344,104,24.8,11.2,5,1.2,0.9
244,244,2022,Steven Kwan,408,10.9,34.1,107.1,84.6,87.4,83.1,393,150,374,82,20.1,10.4,4,1,0.8
245,245,2022,Isiah Kiner-Falefa,349,5.9,29.5,109.8,86.6,89.8,85.4,388,130,371,103,29.5,14,3,0.9,0.7
